complaint_id,shipment_id,complaint_date,category,sentiment,region,resolution_time_hours,assigned_team,escalation_level,resolved,customer_satisfaction_after_resolution
CMP200000,SHP101923,2025-09-13,Poor Communication,Negative,Alexandria,11.2,Customer Success,1,True,4.0
CMP200001,SHP104359,2025-01-16,Poor Communication,Neutral,Suez,4.3,Customer Success,1,False,
CMP200002,SHP101839,2025-12-14,Damaged Package,Neutral,Giza,53.3,Claims & Damage,3,True,4.0
CMP200003,SHP103653,2025-09-16,Damaged Package,Negative,Upper Egypt,45.9,Claims & Damage,2,True,4.0
CMP200004,SHP102681,2025-08-03,Wrong Item,Neutral,Upper Egypt,5.9,Fulfillment QA,1,False,
CMP200005,SHP101149,2025-12-17,Poor Communication,Negative,Cairo,8.6,Customer Success,1,True,5.0
CMP200006,SHP104533,2025-04-09,Poor Communication,Negative,Cairo,18.3,Customer Success,1,True,5.0
CMP200007,SHP104417,2025-03-17,Lost Shipment,Negative,Delta,124.1,Claims & Damage,3,True,2.0
CMP200008,SHP103838,2025-02-13,Wrong Item,Positive,Giza,9.2,Fulfillment QA,1,False,
CMP200009,SHP103423,2025-07-22,Poor Communication,Negative,Delta,9.7,Customer Success,1,True,5.0
CMP200010,SHP102293,2025-04-03,Wrong Item,Neutral,Cairo,29.8,Fulfillment QA,1,True,4.0
CMP200011,SHP100667,2025-12-29,Wrong Item,Neutral,Giza,32.9,Fulfillment QA,1,True,5.0
CMP200012,SHP102153,2025-03-25,Wrong Item,Negative,Cairo,28.8,Fulfillment QA,1,True,4.0
CMP200013,SHP103740,2025-07-17,Poor Communication,Negative,Delta,17.1,Customer Success,1,True,5.0
CMP200014,SHP102467,2025-08-30,Lost Shipment,Negative,Cairo,85.6,Claims & Damage,3,True,3.0
CMP200015,SHP104911,2025-07-28,Late Delivery,Negative,Delta,53.7,Logistics Support,1,True,4.0
CMP200016,SHP103244,2025-06-24,Poor Communication,Neutral,Cairo,9.9,Customer Success,1,True,4.0
CMP200017,SHP100824,2025-09-26,Damaged Package,Negative,Giza,36.7,Claims & Damage,2,True,4.0
CMP200018,SHP100380,2025-04-18,Late Delivery,Negative,Upper Egypt,38.3,Logistics Support,1,True,4.0
CMP200019,SHP101061,2025-06-02,Lost Shipment,Neutral,Giza,67.0,Claims & Damage,3,True,3.0
CMP200020,SHP102775,2025-05-18,Poor Communication,Neutral,Alexandria,7.3,Customer Success,1,True,5.0
CMP200021,SHP104838,2025-05-06,Poor Communication,Negative,Upper Egypt,18.9,Customer Success,1,True,5.0
CMP200022,SHP104936,2025-07-23,Late Delivery,Neutral,Upper Egypt,27.6,Logistics Support,1,True,4.0
CMP200023,SHP103911,2025-11-24,Wrong Item,Negative,Alexandria,17.5,Fulfillment QA,1,True,4.0
CMP200024,SHP101231,2025-07-23,Late Delivery,Negative,Suez,51.5,Logistics Support,2,True,3.0
CMP200025,SHP104957,2025-02-14,Poor Communication,Negative,Cairo,8.4,Customer Success,1,True,4.0
CMP200026,SHP104703,2025-03-03,Poor Communication,Negative,Upper Egypt,16.9,Customer Success,1,True,4.0
CMP200027,SHP103356,2025-08-08,Wrong Item,Negative,Upper Egypt,16.3,Fulfillment QA,1,True,5.0
CMP200028,SHP100073,2025-07-09,Late Delivery,Negative,Delta,49.7,Logistics Support,1,True,4.0
CMP200029,SHP101271,2025-07-11,Poor Communication,Negative,Alexandria,18.0,Customer Success,1,True,4.0
CMP200030,SHP102503,2025-10-10,Damaged Package,Negative,Alexandria,24.8,Claims & Damage,3,False,
CMP200031,SHP101527,2025-10-06,Wrong Item,Neutral,Upper Egypt,15.8,Fulfillment QA,1,True,4.0
CMP200032,SHP103145,2025-07-21,Late Delivery,Negative,Cairo,50.6,Logistics Support,1,True,4.0
CMP200033,SHP102916,2025-07-10,Lost Shipment,Negative,Delta,35.8,Claims & Damage,3,False,
CMP200034,SHP102253,2025-11-16,Damaged Package,Negative,Upper Egypt,21.6,Claims & Damage,2,False,
CMP200035,SHP100128,2025-07-13,Poor Communication,Negative,Cairo,11.8,Customer Success,1,True,4.0
CMP200036,SHP100250,2025-09-07,Late Delivery,Negative,Giza,43.0,Logistics Support,1,True,4.0
CMP200037,SHP100818,2025-08-04,Poor Communication,Positive,Giza,10.9,Customer Success,1,True,5.0
CMP200038,SHP101275,2025-06-25,Wrong Item,Neutral,Cairo,17.8,Fulfillment QA,1,True,5.0
CMP200039,SHP103457,2025-07-09,Late Delivery,Neutral,Giza,37.5,Logistics Support,1,True,4.0
CMP200040,SHP103502,2025-03-16,Damaged Package,Negative,Cairo,35.8,Claims & Damage,2,True,4.0
CMP200041,SHP104265,2025-06-20,Late Delivery,Negative,Alexandria,30.5,Logistics Support,1,True,5.0
CMP200042,SHP100021,2025-06-14,Wrong Item,Neutral,Alexandria,15.2,Fulfillment QA,1,True,5.0
CMP200043,SHP103508,2025-03-29,Damaged Package,Negative,Alexandria,44.9,Claims & Damage,2,True,4.0
CMP200044,SHP102864,2025-12-09,Poor Communication,Negative,Upper Egypt,18.2,Customer Success,1,True,4.0
CMP200045,SHP101312,2025-06-25,Wrong Item,Negative,Cairo,14.1,Fulfillment QA,1,False,
CMP200046,SHP103067,2025-04-21,Poor Communication,Neutral,Suez,14.7,Customer Success,2,True,5.0
CMP200047,SHP100761,2025-07-24,Late Delivery,Negative,Cairo,39.9,Logistics Support,1,True,4.0
CMP200048,SHP100086,2025-07-16,Late Delivery,Negative,Cairo,42.9,Logistics Support,2,True,4.0
