case_id,customer_id,project_id,unit_id,created_at,category,subcategory,priority,channel,first_response_at,resolved_at,status,resolution_sla_hours,resolution_sla_met,reopen_count,sentiment,escalation_flag,responsible_department
CAS-00001,CUS-000206,AUR,AUR-P2-B4-00268,2026-03-17 00:00:00,Snagging / Quality,Finishing Quality,Low,Email,2026-03-17 01:30:45,2026-03-20 06:12:27,Resolved,96,True,0,Negative,False,Construction
CAS-00002,CUS-000215,AUR,AUR-P3-B3-00368,2025-09-09 00:00:00,Construction Update,Progress Inquiry,Medium,Phone,2025-09-09 00:05:00,2025-09-09 01:05:00,Resolved,48,True,0,Positive,False,Construction
CAS-00003,CUS-000177,AUR,AUR-P3-B4-00419,2025-02-22 00:00:00,Sales Experience,Response Time,Low,Customer Portal,2025-02-22 01:32:35,,Open,96,,0,Neutral,False,Sales
CAS-00004,CUS-000214,AUR,AUR-P3-B2-00326,2026-02-02 00:00:00,Snagging / Quality,Defect Report,Low,Phone,2026-02-02 01:21:30,2026-02-06 14:26:39,Resolved,96,True,0,Negative,False,Construction
CAS-00005,CUS-000236,AUR,AUR-P2-B4-00269,2026-04-30 00:00:00,General Inquiry,Amenities,Low,Customer Portal,2026-04-30 02:26:34,2026-05-02 10:22:11,Resolved,96,True,0,Negative,False,Customer Experience
CAS-00006,CUS-000134,AUR,AUR-P2-B1-00152,2025-04-07 00:00:00,Sales Experience,Response Time,Low,Email,2025-04-07 01:17:10,2025-04-09 21:28:59,Resolved,96,True,0,Negative,False,Sales
CAS-00007,CUS-000230,AUR,AUR-P3-B4-00401,2024-08-20 00:00:00,Handover,Handover Date Concern,Critical,Customer Portal,2024-08-20 01:31:08,2024-08-20 02:31:08,Resolved,4,True,0,Neutral,False,Customer Experience
CAS-00008,CUS-000096,AUR,AUR-P3-B4-00408,2026-01-24 00:00:00,Sales Experience,Misrepresentation Concern,Low,WhatsApp,2026-01-24 00:05:00,2026-01-26 21:22:09,Resolved,96,True,0,Positive,False,Sales
CAS-00009,CUS-000101,AUR,AUR-P3-B3-00362,2024-11-03 00:00:00,General Inquiry,Amenities,Low,Email,2024-11-03 01:18:05,2024-11-09 02:43:42,Resolved,96,False,0,Negative,False,Customer Experience
CAS-00010,CUS-000104,AUR,AUR-P3-B1-00299,2025-11-10 00:00:00,Sales Experience,Response Time,Critical,Customer Portal,2025-11-10 01:47:26,2025-11-10 05:34:59,Resolved,4,True,0,Positive,True,Sales
CAS-00011,CUS-000141,AUR,AUR-P2-B4-00257,2026-03-16 00:00:00,Snagging / Quality,Defect Report,Medium,Phone,2026-03-16 02:44:40,2026-03-18 08:04:01,Resolved,48,True,0,Negative,False,Construction
CAS-00012,CUS-000164,AUR,AUR-P3-B3-00382,2025-07-08 00:00:00,General Inquiry,HOA / Facilities Management,Medium,Customer Portal,2025-07-08 00:05:00,2025-07-08 01:05:00,Resolved,48,True,0,Neutral,False,Customer Experience
CAS-00013,CUS-000099,AUR,AUR-P1-B4-00116,2025-04-27 00:00:00,Sales Experience,Response Time,High,Customer Portal,2025-04-27 01:06:05,2025-04-27 02:06:05,Resolved,24,True,0,Negative,False,Sales
CAS-00014,CUS-000183,AUR,AUR-P2-B3-00239,2025-08-28 00:00:00,Collections,Late Fee Dispute,Low,Email,2025-08-28 02:32:20,2025-08-28 20:44:02,Resolved,96,True,0,Neutral,False,Collections
CAS-00015,CUS-000071,AUR,AUR-P3-B4-00395,2026-04-28 00:00:00,General Inquiry,Resale Process,Low,Phone,2026-04-28 01:52:06,2026-05-02 09:24:16,Resolved,96,True,0,Positive,False,Customer Experience
