handover_id,unit_id,project_id,original_handover_date,forecast_handover_date,actual_handover_date,handover_status,days_delayed,final_payment_received,customer_notified,inspection_completed,keys_released
HAN-0001,MER-P1-B1-01653,MER,2025-10-31,2025-11-03,2025-11-01,Completed,3,True,False,True,True
HAN-0002,MER-P1-B1-01654,MER,2025-10-31,2025-10-31,2025-10-26,Completed,0,True,True,True,True
HAN-0003,MER-P1-B1-01655,MER,2025-10-31,2025-11-15,2025-11-07,Completed,15,True,True,True,True
HAN-0004,MER-P1-B1-01657,MER,2025-10-31,2025-10-31,,On Track,0,False,True,False,False
HAN-0005,MER-P1-B1-01658,MER,2025-10-31,2025-10-31,,On Track,0,False,True,True,False
HAN-0006,MER-P1-B1-01659,MER,2025-10-31,2025-10-31,2025-10-31,Completed,0,True,True,True,True
HAN-0007,MER-P1-B1-01660,MER,2025-10-31,2025-11-18,,On Track,18,False,True,False,False
HAN-0008,MER-P1-B1-01661,MER,2025-10-31,2025-10-31,2025-10-29,Completed,0,True,True,True,True
HAN-0009,MER-P1-B1-01662,MER,2025-10-31,2025-11-05,2025-11-02,Completed,5,True,True,True,True
HAN-0010,MER-P1-B1-01663,MER,2025-10-31,2025-10-31,2025-10-26,Completed,0,True,True,True,True
HAN-0011,MER-P1-B1-01664,MER,2025-10-31,2025-10-31,2025-10-23,Completed,0,True,True,True,True
HAN-0012,MER-P1-B1-01665,MER,2025-10-31,2025-10-31,2025-10-26,Completed,0,True,True,True,True
HAN-0013,MER-P1-B1-01666,MER,2025-10-31,2025-11-11,2025-11-07,Completed,11,True,True,True,True
HAN-0014,MER-P1-B1-01668,MER,2025-10-31,2025-11-07,,On Track,7,True,True,False,False
HAN-0015,MER-P1-B1-01669,MER,2025-10-31,2025-10-31,2025-10-30,Completed,0,True,True,True,True
HAN-0016,MER-P1-B1-01671,MER,2025-10-31,2025-11-01,2025-10-30,Completed,1,True,True,True,True
HAN-0017,MER-P1-B1-01672,MER,2025-10-31,2025-11-10,,On Track,10,False,True,True,False
HAN-0018,MER-P1-B1-01673,MER,2025-10-31,2025-10-31,2025-10-26,Completed,0,True,True,True,True
HAN-0019,MER-P1-B1-01674,MER,2025-10-31,2025-11-11,2025-11-11,Completed,11,True,True,True,True
HAN-0020,MER-P1-B1-01675,MER,2025-10-31,2025-11-03,2025-11-02,Completed,3,True,True,True,True
HAN-0021,MER-P1-B1-01676,MER,2025-10-31,2025-11-08,2025-11-04,Completed,8,True,True,True,True
HAN-0022,MER-P1-B1-01677,MER,2025-10-31,2025-10-31,2025-10-25,Completed,0,True,True,True,True
HAN-0023,MER-P1-B1-01678,MER,2025-10-31,2025-11-15,,On Track,15,False,True,False,False
HAN-0024,MER-P1-B1-01679,MER,2025-10-31,2025-11-08,2025-11-01,Completed,8,True,True,True,True
HAN-0025,MER-P1-B1-01680,MER,2025-10-31,2025-11-19,,On Track,19,False,True,False,False
HAN-0026,MER-P1-B1-01681,MER,2025-10-31,2025-10-31,,On Track,0,False,True,False,False
HAN-0027,MER-P1-B1-01682,MER,2025-10-31,2025-10-31,,On Track,0,False,True,False,False
HAN-0028,MER-P1-B1-01684,MER,2025-10-31,2025-10-31,,On Track,0,False,True,False,False
HAN-0029,MER-P1-B1-01685,MER,2025-10-31,2025-11-14,2025-11-11,Completed,14,True,False,True,True
HAN-0030,MER-P1-B1-01686,MER,2025-10-31,2025-11-13,,On Track,13,True,True,True,False
HAN-0031,MER-P1-B1-01687,MER,2025-10-31,2025-11-07,2025-11-01,Completed,7,True,True,True,True
HAN-0032,MER-P1-B1-01689,MER,2025-10-31,2025-11-16,2025-11-09,Completed,16,True,True,True,True
HAN-0033,MER-P1-B2-01692,MER,2025-10-31,2025-11-01,,On Track,1,False,True,True,False
HAN-0034,MER-P1-B2-01694,MER,2025-10-31,2025-10-31,2025-10-31,Completed,0,True,False,True,True
HAN-0035,MER-P1-B2-01695,MER,2025-10-31,2025-10-31,2025-10-27,Completed,0,True,False,True,True
HAN-0036,MER-P1-B2-01696,MER,2025-10-31,2025-11-01,,On Track,1,False,True,False,False
HAN-0037,MER-P1-B2-01699,MER,2025-10-31,2025-11-07,2025-11-05,Completed,7,True,False,True,True
HAN-0038,MER-P1-B2-01700,MER,2025-10-31,2025-11-10,,On Track,10,False,False,True,False
HAN-0039,MER-P1-B2-01701,MER,2025-10-31,2025-10-31,,On Track,0,False,True,False,False
HAN-0040,MER-P1-B2-01702,MER,2025-10-31,2025-11-02,2025-11-02,Completed,2,True,True,True,True
HAN-0041,MER-P1-B2-01704,MER,2025-10-31,2025-11-10,,On Track,10,True,True,False,False
HAN-0042,MER-P1-B2-01705,MER,2025-10-31,2025-11-13,2025-11-13,Completed,13,True,True,True,True
HAN-0043,MER-P1-B2-01706,MER,2025-10-31,2025-10-31,,On Track,0,True,True,False,False
HAN-0044,MER-P1-B2-01709,MER,2025-10-31,2025-10-31,2025-10-30,Completed,0,True,True,True,True
HAN-0045,MER-P1-B2-01710,MER,2025-10-31,2025-10-31,2025-10-26,Completed,0,True,True,True,True
HAN-0046,MER-P1-B2-01711,MER,2025-10-31,2025-11-05,2025-11-05,Completed,5,True,True,True,True
HAN-0047,MER-P1-B2-01712,MER,2025-10-31,2025-10-31,,On Track,0,False,False,False,False
HAN-0048,MER-P1-B2-01714,MER,2025-10-31,2025-10-31,,On Track,0,True,True,True,False
HAN-0049,MER-P1-B2-01715,MER,2025-10-31,2025-10-31,2025-10-24,Completed,0,True,True,True,True
HAN-0050,MER-P1-B2-01716,MER,2025-10-31,2025-10-31,2025-10-23,Completed,0,True,False,True,True
HAN-0051,MER-P1-B2-01717,MER,2025-10-31,2025-11-15,,On Track,15,False,True,False,False
HAN-0052,MER-P1-B2-01719,MER,2025-10-31,2025-10-31,,On Track,0,False,True,False,False
HAN-0053,MER-P1-B2-01720,MER,2025-10-31,2025-11-09,,On Track,9,False,True,True,False
HAN-0054,MER-P1-B2-01722,MER,2025-10-31,2025-10-31,,On Track,0,True,True,False,False
HAN-0055,MER-P1-B2-01723,MER,2025-10-31,2025-11-05,,On Track,5,True,True,True,False
HAN-0056,MER-P1-B2-01724,MER,2025-10-31,2025-11-07,,On Track,7,False,True,False,False
HAN-0057,MER-P1-B2-01725,MER,2025-10-31,2025-11-10,,On Track,10,False,True,False,False
HAN-0058,MER-P1-B2-01726,MER,2025-10-31,2025-11-05,,On Track,5,False,True,False,False
HAN-0059,MER-P1-B3-01727,MER,2025-10-31,2026-02-16,,Delayed,108,False,False,True,False
HAN-0060,MER-P1-B3-01728,MER,2025-10-31,2026-01-15,,Delayed,76,False,True,False,False
HAN-0061,MER-P1-B3-01730,MER,2025-10-31,2026-02-23,,Delayed,115,False,True,True,False
HAN-0062,MER-P1-B3-01731,MER,2025-10-31,2026-03-11,2026-03-08,Completed (Delayed),131,True,True,True,True
HAN-0063,MER-P1-B3-01732,MER,2025-10-31,2026-03-26,2026-03-17,Completed (Delayed),146,True,False,True,True
HAN-0064,MER-P1-B3-01735,MER,2025-10-31,2026-01-13,,Delayed,74,False,True,True,False
HAN-0065,MER-P1-B3-01736,MER,2025-10-31,2026-03-29,2026-03-23,Completed (Delayed),149,True,True,True,True
HAN-0066,MER-P1-B3-01737,MER,2025-10-31,2026-01-13,2026-01-07,Completed (Delayed),74,True,True,True,True
HAN-0067,MER-P1-B3-01738,MER,2025-10-31,2026-03-19,,Delayed,139,False,True,False,False
HAN-0068,MER-P1-B3-01739,MER,2025-10-31,2026-01-01,,Delayed,62,False,True,False,False
HAN-0069,MER-P1-B3-01740,MER,2025-10-31,2026-02-02,,Delayed,94,False,False,False,False
HAN-0070,MER-P1-B3-01741,MER,2025-10-31,2026-03-06,2026-02-26,Completed (Delayed),126,True,True,True,True
HAN-0071,MER-P1-B3-01742,MER,2025-10-31,2026-01-21,2026-01-17,Completed (Delayed),82,True,True,True,True
HAN-0072,MER-P1-B3-01744,MER,2025-10-31,2026-02-13,2026-02-08,Completed (Delayed),105,True,False,True,True
HAN-0073,MER-P1-B3-01745,MER,2025-10-31,2026-02-15,2026-02-09,Completed (Delayed),107,True,True,True,True
HAN-0074,MER-P1-B3-01746,MER,2025-10-31,2026-02-08,,Delayed,100,False,False,True,False
HAN-0075,MER-P1-B3-01747,MER,2025-10-31,2026-02-05,2026-01-28,Completed (Delayed),97,True,False,True,True
HAN-0076,MER-P1-B3-01749,MER,2025-10-31,2026-03-03,,Delayed,123,False,False,False,False
HAN-0077,MER-P1-B3-01750,MER,2025-10-31,2026-01-26,2026-01-19,Completed (Delayed),87,True,True,True,True
HAN-0078,MER-P1-B3-01751,MER,2025-10-31,2026-01-25,2026-01-24,Completed (Delayed),86,True,True,True,True
HAN-0079,MER-P1-B3-01752,MER,2025-10-31,2026-03-23,,Delayed,143,False,True,True,False
HAN-0080,MER-P1-B3-01753,MER,2025-10-31,2026-02-08,2026-02-08,Completed (Delayed),100,True,True,True,True
HAN-0081,MER-P1-B3-01754,MER,2025-10-31,2026-03-08,,Delayed,128,False,True,False,False
HAN-0082,MER-P1-B3-01755,MER,2025-10-31,2026-03-09,,Delayed,129,False,True,True,False
HAN-0083,MER-P1-B3-01756,MER,2025-10-31,2025-12-31,2025-12-22,Completed (Delayed),61,True,False,True,True
HAN-0084,MER-P1-B3-01757,MER,2025-10-31,2026-03-23,,Delayed,143,False,True,False,False
HAN-0085,MER-P1-B3-01758,MER,2025-10-31,2026-03-11,2026-03-08,Completed (Delayed),131,True,False,True,True
HAN-0086,MER-P1-B3-01759,MER,2025-10-31,2026-01-30,,Delayed,91,False,False,False,False
HAN-0087,MER-P1-B3-01760,MER,2025-10-31,2026-03-21,2026-03-14,Completed (Delayed),141,True,False,True,True
HAN-0088,MER-P1-B3-01762,MER,2025-10-31,2026-02-13,2026-02-13,Completed (Delayed),105,True,False,True,True
HAN-0089,MER-P1-B3-01763,MER,2025-10-31,2026-02-17,,Delayed,109,False,True,False,False
HAN-0090,MER-P1-B4-01764,MER,2025-10-31,2026-02-23,2026-02-18,Completed (Delayed),115,True,True,True,True
HAN-0091,MER-P1-B4-01765,MER,2025-10-31,2026-01-23,,Delayed,84,False,False,False,False
HAN-0092,MER-P1-B4-01766,MER,2025-10-31,2026-03-12,,Delayed,132,False,True,False,False
HAN-0093,MER-P1-B4-01768,MER,2025-10-31,2026-02-28,2026-02-26,Completed (Delayed),120,True,False,True,True
HAN-0094,MER-P1-B4-01769,MER,2025-10-31,2026-03-12,,Delayed,132,False,True,True,False
HAN-0095,MER-P1-B4-01770,MER,2025-10-31,2026-02-08,,Delayed,100,False,False,False,False
HAN-0096,MER-P1-B4-01772,MER,2025-10-31,2026-02-15,2026-02-15,Completed (Delayed),107,True,True,True,True
HAN-0097,MER-P1-B4-01773,MER,2025-10-31,2026-02-03,,Delayed,95,False,True,False,False
HAN-0098,MER-P1-B4-01774,MER,2025-10-31,2026-01-10,,Delayed,71,False,False,False,False
HAN-0099,MER-P1-B4-01775,MER,2025-10-31,2026-03-16,2026-03-15,Completed (Delayed),136,True,False,True,True
HAN-0100,MER-P1-B4-01776,MER,2025-10-31,2026-03-08,2026-02-28,Completed (Delayed),128,True,False,True,True
HAN-0101,MER-P1-B4-01778,MER,2025-10-31,2026-02-21,2026-02-14,Completed (Delayed),113,True,True,True,True
HAN-0102,MER-P1-B4-01779,MER,2025-10-31,2026-03-19,2026-03-19,Completed (Delayed),139,True,True,True,True
HAN-0103,MER-P1-B4-01781,MER,2025-10-31,2026-03-12,2026-03-03,Completed (Delayed),132,True,True,True,True
HAN-0104,MER-P1-B4-01782,MER,2025-10-31,2026-02-03,2026-01-29,Completed (Delayed),95,True,True,True,True
HAN-0105,MER-P1-B4-01783,MER,2025-10-31,2026-02-06,,Delayed,98,False,True,True,False
HAN-0106,MER-P1-B4-01786,MER,2025-10-31,2026-03-06,2026-03-02,Completed (Delayed),126,True,True,True,True
HAN-0107,MER-P1-B4-01787,MER,2025-10-31,2026-03-18,,Delayed,138,False,False,True,False
HAN-0108,MER-P1-B4-01788,MER,2025-10-31,2026-03-29,2026-03-28,Completed (Delayed),149,True,True,True,True
HAN-0109,MER-P1-B4-01789,MER,2025-10-31,2026-03-25,2026-03-22,Completed (Delayed),145,True,True,True,True
HAN-0110,MER-P1-B4-01790,MER,2025-10-31,2026-01-08,2026-01-01,Completed (Delayed),69,True,False,True,True
HAN-0111,MER-P1-B4-01791,MER,2025-10-31,2026-02-16,2026-02-10,Completed (Delayed),108,True,True,True,True
HAN-0112,MER-P1-B4-01792,MER,2025-10-31,2026-02-05,2026-02-01,Completed (Delayed),97,True,False,True,True
HAN-0113,MER-P1-B4-01793,MER,2025-10-31,2026-03-02,,Delayed,122,False,True,False,False
HAN-0114,MER-P1-B4-01794,MER,2025-10-31,2026-02-08,,Delayed,100,False,False,False,False
HAN-0115,MER-P1-B4-01795,MER,2025-10-31,2026-03-27,2026-03-21,Completed (Delayed),147,True,True,True,True
HAN-0116,MER-P1-B4-01796,MER,2025-10-31,2026-01-08,2025-12-30,Completed (Delayed),69,True,False,True,True
HAN-0117,MER-P1-B4-01798,MER,2025-10-31,2026-03-17,2026-03-13,Completed (Delayed),137,True,True,True,True
HAN-0118,MER-P1-B4-01800,MER,2025-10-31,2026-03-26,,Delayed,146,False,False,False,False
HAN-0119,MER-P2-B1-01801,MER,2025-10-31,2025-11-13,2025-11-10,Completed,13,True,True,True,True
HAN-0120,MER-P2-B1-01802,MER,2025-10-31,2025-11-04,2025-11-01,Completed,4,True,True,True,True
HAN-0121,MER-P2-B1-01804,MER,2025-10-31,2025-10-31,2025-10-25,Completed,0,True,True,True,True
HAN-0122,MER-P2-B1-01805,MER,2025-10-31,2025-11-01,2025-11-01,Completed,1,True,True,True,True
HAN-0123,MER-P2-B1-01806,MER,2025-10-31,2025-11-11,2025-11-03,Completed,11,True,True,True,True
HAN-0124,MER-P2-B1-01808,MER,2025-10-31,2025-11-17,2025-11-12,Completed,17,True,True,True,True
HAN-0125,MER-P2-B1-01809,MER,2025-10-31,2025-11-04,,On Track,4,False,True,True,False
HAN-0126,MER-P2-B1-01810,MER,2025-10-31,2025-11-06,2025-11-03,Completed,6,True,True,True,True
HAN-0127,MER-P2-B1-01811,MER,2025-10-31,2025-11-12,2025-11-07,Completed,12,True,True,True,True
HAN-0128,MER-P2-B1-01812,MER,2025-10-31,2025-10-31,,On Track,0,False,True,True,False
HAN-0129,MER-P2-B1-01813,MER,2025-10-31,2025-10-31,,On Track,0,False,True,False,False
HAN-0130,MER-P2-B1-01815,MER,2025-10-31,2025-11-03,,On Track,3,True,True,False,False
HAN-0131,MER-P2-B1-01816,MER,2025-10-31,2025-11-10,2025-11-02,Completed,10,True,True,True,True
HAN-0132,MER-P2-B1-01817,MER,2025-10-31,2025-10-31,,On Track,0,False,True,True,False
HAN-0133,MER-P2-B1-01818,MER,2025-10-31,2025-10-31,2025-10-25,Completed,0,True,True,True,True
HAN-0134,MER-P2-B1-01819,MER,2025-10-31,2025-11-10,,On Track,10,False,True,True,False
HAN-0135,MER-P2-B1-01820,MER,2025-10-31,2025-10-31,,On Track,0,False,True,False,False
HAN-0136,MER-P2-B1-01821,MER,2025-10-31,2025-11-04,,On Track,4,False,True,True,False
HAN-0137,MER-P2-B1-01823,MER,2025-10-31,2025-11-02,,On Track,2,False,True,True,False
HAN-0138,MER-P2-B1-01826,MER,2025-10-31,2025-10-31,2025-10-28,Completed,0,True,True,True,True
HAN-0139,MER-P2-B1-01827,MER,2025-10-31,2025-11-16,2025-11-08,Completed,16,True,True,True,True
HAN-0140,MER-P2-B1-01829,MER,2025-10-31,2025-11-14,2025-11-09,Completed,14,True,True,True,True
HAN-0141,MER-P2-B1-01830,MER,2025-10-31,2025-10-31,,On Track,0,False,True,False,False
HAN-0142,MER-P2-B1-01831,MER,2025-10-31,2025-11-06,,On Track,6,True,True,False,False
HAN-0143,MER-P2-B1-01835,MER,2025-10-31,2025-11-13,,On Track,13,False,True,True,False
HAN-0144,MER-P2-B1-01837,MER,2025-10-31,2025-10-31,,On Track,0,True,True,False,False
