warehouse,product,stock_level,monthly_sales,reorder_threshold,sku,supplier,lead_time_days,warehouse_capacity,inventory_value,days_of_inventory_remaining
Cairo East,Standard Power Bank,490,356,94,SKU-00001,Upper Egypt Producers,12,45000,50553.3,41.3
Cairo East,Smart Power Bank,34,37,13,SKU-00002,Cairo Wholesale Partners,6,45000,3785.56,27.6
Cairo East,Heavy-Duty Coffee Maker,9,97,32,SKU-00003,Mediterranean Sourcing Ltd.,14,45000,1077.12,2.8
Cairo East,Adjustable Webcam,239,316,107,SKU-00004,Red Sea Import Group,13,45000,3537.2,22.7
Cairo East,Premium Printer,445,281,57,SKU-00005,Delta Industrial Supply,12,45000,25623.1,47.5
Cairo East,Premium Keyboard,450,354,53,SKU-00006,Alexandria Trading House,11,45000,42138.0,38.1
Cairo East,Wireless Router,38,38,11,SKU-00007,Sinai Logistics Supply,15,45000,4465.38,30.0
Cairo East,Industrial Keyboard,319,278,60,SKU-00008,Red Sea Import Group,14,45000,38866.96,34.4
Cairo East,Standard Monitor Stand,49,69,10,SKU-00009,Red Sea Import Group,14,45000,6436.64,21.3
Cairo East,Heavy-Duty Speaker,244,175,58,SKU-00010,Upper Egypt Producers,13,45000,25097.84,41.8
Cairo East,Stainless Steel Webcam,20,125,22,SKU-00011,Sinai Logistics Supply,16,45000,509.0,4.8
Cairo East,Ergonomic Webcam,303,259,60,SKU-00012,Sinai Logistics Supply,14,45000,13707.72,35.1
Cairo East,Compact Whiteboard,21,173,30,SKU-00013,Sinai Logistics Supply,17,45000,1953.0,3.6
Cairo East,Ergonomic Printer,47,40,7,SKU-00014,Delta Industrial Supply,11,45000,4537.38,35.2
Cairo East,Adjustable Paper Shredder,478,359,66,SKU-00015,Delta Industrial Supply,12,45000,2786.74,39.9
Cairo East,Foldable Office Chair,40,139,46,SKU-00016,Upper Egypt Producers,12,45000,3076.4,8.6
Cairo East,Smart Keyboard,154,271,68,SKU-00017,Upper Egypt Producers,12,45000,22614.9,17.0
Cairo East,Adjustable Keyboard,23,231,58,SKU-00018,Alexandria Trading House,10,45000,312.11,3.0
Cairo East,Wireless Filing Cabinet,148,89,18,SKU-00019,Mediterranean Sourcing Ltd.,11,45000,8649.12,49.9
Cairo East,Heavy-Duty Paper Shredder,193,266,69,SKU-00020,Mediterranean Sourcing Ltd.,12,45000,17395.09,21.8
Cairo East,Smart Desk Lamp,235,305,101,SKU-00021,Delta Industrial Supply,9,45000,33104.45,23.1
Cairo East,Foldable Keyboard,32,285,85,SKU-00022,Alexandria Trading House,11,45000,506.56,3.4
Cairo East,Standard Filing Cabinet,20,149,32,SKU-00023,Alexandria Trading House,9,45000,2525.2,4.0
Cairo East,Industrial Paper Shredder,28,343,92,SKU-00024,Mediterranean Sourcing Ltd.,14,45000,1391.88,2.4
Cairo East,Adjustable Power Bank,391,387,59,SKU-00025,Delta Industrial Supply,12,45000,18897.03,30.3
