lead_id,created_at,campaign_id,source,channel,project_interest,unit_type_interest,budget_min,budget_max,preferred_location,nationality,residency_country,customer_segment,purchase_purpose,financing_preference,lead_score,sales_agent_id,broker_id,first_response_at,first_contact_at,last_activity_at,current_stage,loss_reason,qualification_status,appointment_date,site_visit_date,sale_id,estimated_deal_value,marketing_consent,duplicate_flag
LEA-000001,2024-12-04 00:00:00,CMP-0012,Google Search,Google Search,AUR,Apartment,38461000.0,52035000.0,New Cairo,Egyptian,Egypt,Investor,Second Home,Cash,23,AGT-007,,2024-12-04 00:22:55,2024-12-04 04:59:10,2024-12-04 04:59:10,lost,Budget Mismatch,Unqualified,,,,45248000.0,True,False
LEA-000002,2025-10-20 00:00:00,CMP-0017,Organic Website,Organic Website,AUR,Villa,38580000.0,52197000.0,New Cairo,Egyptian,Egypt,Mass Affluent,Rental Income,Bank Mortgage,48,AGT-006,,2025-10-20 00:31:50,2025-10-20 04:12:38,2025-10-20 04:12:38,lost,Budget Mismatch,Unqualified,,,,45389000.0,True,False
LEA-000003,2024-12-11 00:00:00,CMP-0010,LinkedIn,LinkedIn,AUR,Villa,36871000.0,49884000.0,New Cairo,Emirati,UAE,First-Time Buyer,Primary Residence,Bank Mortgage,27,AGT-003,,2024-12-11 00:19:54,2024-12-11 03:50:24,2024-12-11 03:50:24,lost,Budget Mismatch,Unqualified,,,,43377000.0,True,False
LEA-000004,2024-12-30 00:00:00,CMP-0021,Google Search,Google Search,AUR,Apartment,35629000.0,48204000.0,New Cairo,Egyptian,Egypt,Investor,Second Home,Bank Mortgage,39,AGT-008,BRK-04,2024-12-30 00:07:10,2024-12-30 04:17:05,2024-12-30 04:17:05,lost,Chose Competitor Project,Unqualified,,,,41917000.0,False,False
LEA-000005,2024-08-27 00:00:00,CMP-0018,TikTok,TikTok,AUR,Duplex,38937000.0,52680000.0,New Cairo,Emirati,UAE,High Net Worth,Primary Residence,Developer Payment Plan,79,AGT-007,,2024-08-27 00:03:02,2024-08-27 02:26:36,2024-08-28 19:43:04,dormant,,Qualified,,,,45809000.0,True,False
LEA-000006,2026-03-17 00:00:00,CMP-0021,Google Search,Google Search,AUR,Duplex,23355000.0,31598000.0,New Cairo,Emirati,UAE,First-Time Buyer,Second Home,Developer Payment Plan,68,AGT-009,,,,2026-03-17 00:00:00,lost,Unresponsive,Unqualified,,,,27476000.0,True,False
LEA-000007,2025-05-14 00:00:00,CMP-0011,Meta,Meta,AUR,Villa,25620000.0,34662000.0,New Cairo,Emirati,UAE,High Net Worth,Rental Income,Cash,34,AGT-010,,2025-05-14 00:23:47,2025-05-14 01:26:11,2025-05-16 10:41:15,dormant,,Qualified,,,,30141000.0,True,False
LEA-000008,2024-11-23 00:00:00,CMP-0017,Organic Website,Organic Website,AUR,Apartment,30903000.0,41810000.0,New Cairo,Egyptian,Egypt,Investor,Rental Income,Undecided,76,AGT-008,,2024-11-23 00:31:30,2024-11-23 02:03:18,2024-11-24 01:30:04,dormant,,Qualified,,,,36357000.0,True,False
LEA-000009,2026-03-19 00:00:00,CMP-0022,Organic Website,Organic Website,AUR,Villa,31067000.0,42031000.0,New Cairo,Egyptian,Egypt,Investor,Investment / Resale,Undecided,99,AGT-004,,2026-03-19 06:11:39,2026-03-19 07:07:40,2026-03-20 03:58:54,dormant,,Qualified,,,,36549000.0,True,False
LEA-000010,2024-08-18 00:00:00,CMP-0017,Organic Website,Organic Website,AUR,Villa,23933000.0,32380000.0,New Cairo,Egyptian,Egypt,Mass Affluent,Investment / Resale,Undecided,48,AGT-009,,2024-08-18 00:32:39,2024-08-18 02:12:53,2024-09-05 16:21:02,dormant,,Qualified,2024-08-21,2024-08-22,,28157000.0,True,False
LEA-000011,2024-08-16 00:00:00,CMP-0017,Organic Website,Organic Website,AUR,Duplex,32889000.0,44497000.0,New Cairo,Egyptian,Egypt,First-Time Buyer,Rental Income,Undecided,60,AGT-007,,2024-08-16 00:16:34,2024-08-16 04:53:04,2024-08-18 21:22:07,dormant,,Qualified,,,,38693000.0,True,False
LEA-000012,2026-04-17 00:00:00,CMP-0022,Organic Website,Organic Website,AUR,Apartment,37590000.0,50857000.0,New Cairo,Egyptian,Egypt,Mass Affluent,Investment / Resale,Bank Mortgage,73,AGT-010,,2026-04-17 00:13:23,2026-04-17 03:06:27,2026-04-17 03:06:27,lost,Location Preference Changed,Unqualified,,,,44224000.0,True,False
