installment_id,sale_id,customer_id,project_id,due_date,amount_due,installment_type,payment_status,days_overdue,amount_paid,outstanding_amount,payment_date,bounced_payment_flag,rescheduled_flag,grace_period_days
INS-0000001,SAL-000001,CUS-000001,AUR,2026-06-30,2089154.2,Down Payment,Paid,0,2089154.2,0.0,2026-06-30,False,False,10
INS-0000002,SAL-000001,CUS-000001,AUR,2026-09-30,428489.79,Regular Installment,Not Yet Due,0,0.0,428489.79,,False,False,10
INS-0000003,SAL-000001,CUS-000001,AUR,2026-12-30,428489.79,Regular Installment,Not Yet Due,0,0.0,428489.79,,False,False,10
INS-0000004,SAL-000001,CUS-000001,AUR,2027-03-30,428489.79,Regular Installment,Not Yet Due,0,0.0,428489.79,,False,False,10
INS-0000005,SAL-000001,CUS-000001,AUR,2027-06-30,428489.79,Regular Installment,Not Yet Due,0,0.0,428489.79,,False,False,10
INS-0000006,SAL-000002,CUS-000002,AUR,2025-12-26,2525214.6,Down Payment,Paid,0,2525214.6,0.0,2025-12-24,False,False,10
INS-0000007,SAL-000002,CUS-000002,AUR,2026-03-26,521230.19,Regular Installment,Paid,0,521230.19,0.0,2026-03-25,False,False,10
INS-0000008,SAL-000002,CUS-000002,AUR,2026-06-26,521230.19,Regular Installment,Paid,0,521230.19,0.0,2026-06-25,False,False,10
INS-0000009,SAL-000002,CUS-000002,AUR,2026-09-26,521230.19,Regular Installment,Not Yet Due,0,0.0,521230.19,,False,False,10
INS-0000010,SAL-000002,CUS-000002,AUR,2026-12-26,521230.19,Regular Installment,Not Yet Due,0,0.0,521230.19,,False,False,10
INS-0000011,SAL-000002,CUS-000002,AUR,2027-03-26,521230.19,Regular Installment,Not Yet Due,0,0.0,521230.19,,False,False,10
INS-0000012,SAL-000002,CUS-000002,AUR,2027-06-26,521230.19,Regular Installment,Not Yet Due,0,0.0,521230.19,,False,False,10
INS-0000013,SAL-000003,CUS-000003,AUR,2026-05-30,1775498.55,Down Payment,Paid,0,1775498.55,0.0,2026-05-29,False,False,10
INS-0000014,SAL-000003,CUS-000003,AUR,2026-08-30,304034.49,Regular Installment,Not Yet Due,0,0.0,304034.49,,False,False,10
INS-0000015,SAL-000003,CUS-000003,AUR,2026-11-30,304034.49,Regular Installment,Not Yet Due,0,0.0,304034.49,,False,False,10
INS-0000016,SAL-000003,CUS-000003,AUR,2027-02-28,304034.49,Regular Installment,Not Yet Due,0,0.0,304034.49,,False,False,10
INS-0000017,SAL-000003,CUS-000003,AUR,2027-05-30,304034.49,Regular Installment,Not Yet Due,0,0.0,304034.49,,False,False,10
INS-0000018,SAL-000006,CUS-000006,AUR,2026-06-30,2360796.91,Down Payment,Paid,0,2360796.91,0.0,2026-06-29,False,False,10
INS-0000019,SAL-000006,CUS-000006,AUR,2026-09-30,735651.17,Regular Installment,Not Yet Due,0,0.0,735651.17,,False,False,10
INS-0000020,SAL-000006,CUS-000006,AUR,2026-12-30,735651.17,Regular Installment,Not Yet Due,0,0.0,735651.17,,False,False,10
