sale_id,unit_id,project_id,customer_id,reservation_date,contract_date,sales_agent_id,team_id,broker_id,lead_id,lead_source,campaign_id,gross_price,discount_value,discount_pct,net_sales_value,commission_value,payment_plan_years,down_payment_value,reservation_deposit,sales_channel,buyer_type,contract_status,cancellation_flag,cancellation_date,cancellation_reason,days_lead_to_reservation,days_reservation_to_contract,down_payment_pct,expected_handover_date,forecast_handover_date
SAL-000001,AUR-P2-B2-00204,AUR,CUS-000001,2026-06-25,2026-06-30,AGT-001,Team Apex,,LEA-001373,LinkedIn,CMP-0005,11011312.0,352361.98,3.2,10658950.02,0.0,5,2089154.2,150000.0,Direct,Investor,Contracted,False,,,4.0,4.0,19.6,2027-03-31,2027-03-31
SAL-000002,AUR-P2-B2-00183,AUR,CUS-000002,2025-12-09,2025-12-26,AGT-001,Team Apex,,,Direct / Walk-In,,13475357.4,525538.94,3.9,12949818.46,0.0,5,2525214.6,150000.0,Direct,End-User,Contracted,False,,,,16.0,19.5,2027-03-31,2027-03-31
SAL-000003,AUR-P1-B4-00134,AUR,CUS-000003,2026-05-17,2026-05-30,AGT-001,Team Apex,,LEA-001045,TikTok,CMP-0013,8234998.2,378809.92,4.6,7856188.28,0.0,5,1775498.55,150000.0,Direct,End-User,Contracted,False,,,5.0,13.0,22.6,2027-03-31,2027-03-31
SAL-000004,AUR-P2-B4-00272,AUR,CUS-000004,2026-06-26,,AGT-007,Team Falcon,,LEA-001782,TikTok,CMP-0018,22488350.4,1034464.12,4.6,21453886.28,0.0,5,3475529.58,150000.0,Direct,End-User,Reserved,False,,,10.0,,16.2,2027-03-31,2027-03-31
SAL-000005,AUR-P2-B1-00158,AUR,CUS-000005,2025-08-06,,AGT-001,Team Apex,,,Direct / Walk-In,,11935290.4,525152.78,4.4,11410137.62,0.0,6,1848442.29,150000.0,Direct,End-User,Reserved,False,,,,,16.2,2027-03-31,2027-03-31
SAL-000006,AUR-P2-B3-00241,AUR,CUS-000006,2026-06-30,2026-06-30,AGT-010,Team Falcon,BRK-01,LEA-001586,Brokers,CMP-0003,11765100.9,576489.94,4.9,11188610.96,231604.25,3,2360796.91,150000.0,Broker,End-User,Contracted,False,,,5.0,0.0,21.1,2027-03-31,2027-03-31
SAL-000007,AUR-P2-B2-00209,AUR,CUS-000007,2026-05-08,2026-05-20,AGT-005,Team Apex,,LEA-002411,LinkedIn,CMP-0008,7793803.8,467628.23,6.0,7326175.57,0.0,5,1369994.83,150000.0,Direct,End-User,Contracted,False,,,5.0,11.0,18.7,2027-03-31,2027-03-31
SAL-000008,AUR-P3-B3-00369,AUR,CUS-000008,2026-06-19,2026-06-30,AGT-010,Team Falcon,BRK-10,,Broker Referral,,11578199.6,497862.58,4.3,11080337.02,209418.37,3,2304710.1,150000.0,Broker,End-User,Contracted,False,,,,10.0,20.8,2027-03-31,2027-03-31
SAL-000009,AUR-P3-B2-00316,AUR,CUS-000009,2026-06-15,2026-06-26,AGT-001,Team Apex,,LEA-001378,Outdoor,CMP-0002,9812048.4,264925.31,2.7,9547123.09,0.0,4,1575275.31,150000.0,Direct,End-User,Contracted,False,,,4.0,11.0,16.5,2027-03-31,2027-03-31
SAL-000010,AUR-P3-B1-00302,AUR,CUS-000010,2026-05-09,2026-05-22,AGT-007,Team Falcon,,LEA-000717,LinkedIn,CMP-0014,9105887.1,427976.69,4.7,8677910.41,0.0,4,1735582.08,150000.0,Direct,End-User,Contracted,False,,,7.0,12.0,20.0,2027-03-31,2027-03-31
SAL-000011,AUR-P3-B3-00364,AUR,CUS-000011,2026-06-09,,AGT-010,Team Falcon,,LEA-001047,TikTok,CMP-0006,4675917.5,107546.1,2.3,4568371.4,0.0,5,1050725.42,93518.35,Direct,End-User,Reserved,False,,,5.0,,23.0,2027-03-31,2027-03-31
SAL-000012,AUR-P3-B4-00394,AUR,CUS-000012,2026-06-24,2026-06-25,AGT-007,Team Falcon,,LEA-000095,Google Search,CMP-0021,12482030.0,649065.56,5.2,11832964.44,0.0,4,2271929.17,150000.0,Direct,Investor,Contracted,False,,,8.0,1.0,19.2,2027-03-31,2027-03-31
SAL-000013,AUR-P1-B1-00019,AUR,CUS-000013,2024-10-26,2024-11-23,AGT-010,Team Falcon,,,Direct / Walk-In,,9733850.1,233612.4,2.4,9500237.7,0.0,4,1729043.26,150000.0,Direct,End-User,Contracted,False,,,,27.0,18.2,2027-03-31,2027-03-31
SAL-000014,AUR-P2-B2-00189,AUR,CUS-000014,2026-06-30,,AGT-005,Team Apex,,LEA-001968,Google Search,CMP-0021,8256002.0,338496.08,4.1,7917505.92,0.0,5,1543913.65,150000.0,Direct,End-User,Reserved,False,,,8.0,,19.5,2027-03-31,2027-03-31
SAL-000015,AUR-P1-B3-00082,AUR,CUS-000015,2026-01-07,2026-02-13,AGT-008,Team Falcon,,,Direct / Walk-In,,9089651.2,454482.56,5.0,8635168.64,0.0,4,1597506.2,150000.0,Direct,End-User,Contracted,False,,,,36.0,18.5,2027-03-31,2027-03-31
SAL-000016,AUR-P1-B3-00087,AUR,CUS-000016,2024-10-22,,AGT-004,Team Apex,,,Direct / Walk-In,,22629717.0,1063596.7,4.7,21566120.3,0.0,3,4722980.35,150000.0,Direct,End-User,Reserved,False,,,,,21.9,2027-03-31,2027-03-31
