snag_id,handover_id,unit_id,category,severity,created_at,target_resolution_date,resolved_at,status,contractor,reopen_count
SNG-00001,HAN-0001,MER-P1-B1-01653,HVAC,Major,2025-10-26,2025-11-25,2025-12-08,Resolved,Nile Engineering Contractors,0
SNG-00002,HAN-0003,MER-P1-B1-01655,Flooring,Minor,2025-11-03,2025-11-10,2025-11-12,Resolved,Delta Construction Group,0
SNG-00003,HAN-0003,MER-P1-B1-01655,Doors & Windows,Minor,2025-10-20,2025-10-27,2025-10-28,Resolved,Prime MEP Solutions,0
SNG-00004,HAN-0003,MER-P1-B1-01655,Flooring,Minor,2025-10-25,2025-11-01,,Open,Nile Engineering Contractors,0
SNG-00005,HAN-0004,MER-P1-B1-01657,Structural,Moderate,2025-10-17,2025-10-31,,In Progress,Prime MEP Solutions,0
SNG-00006,HAN-0004,MER-P1-B1-01657,Paint & Finishing,Minor,2025-10-23,2025-10-30,,In Progress,Cairo Structural Works,0
SNG-00007,HAN-0005,MER-P1-B1-01658,Doors & Windows,Minor,2025-10-28,2025-11-04,2025-11-04,Resolved,Cairo Structural Works,0
SNG-00008,HAN-0005,MER-P1-B1-01658,Plumbing,Minor,2025-10-14,2025-10-21,2025-10-22,Resolved,Cairo Structural Works,1
SNG-00009,HAN-0006,MER-P1-B1-01659,Structural,Moderate,2025-10-18,2025-11-01,2025-11-02,Resolved,Horizon Build Partners,0
SNG-00010,HAN-0006,MER-P1-B1-01659,Electrical,Minor,2025-10-23,2025-10-30,,Open,Prime MEP Solutions,0
SNG-00011,HAN-0007,MER-P1-B1-01660,Paint & Finishing,Minor,2025-11-04,2025-11-11,2025-11-09,Resolved,Delta Construction Group,1
SNG-00012,HAN-0007,MER-P1-B1-01660,Plumbing,Minor,2025-11-17,2025-11-24,2025-11-24,Resolved,Nile Engineering Contractors,1
SNG-00013,HAN-0007,MER-P1-B1-01660,Flooring,Major,2025-11-03,2025-12-03,2025-12-07,Resolved,Cairo Structural Works,0
SNG-00014,HAN-0008,MER-P1-B1-01661,Doors & Windows,Minor,2025-10-12,2025-10-19,,In Progress,Modern Facade Systems,0
SNG-00015,HAN-0009,MER-P1-B1-01662,Paint & Finishing,Minor,2025-10-25,2025-11-01,,Open,Nile Engineering Contractors,0
SNG-00016,HAN-0009,MER-P1-B1-01662,Flooring,Minor,2025-10-26,2025-11-02,2025-11-02,Resolved,Nile Engineering Contractors,0
SNG-00017,HAN-0010,MER-P1-B1-01663,HVAC,Major,2025-10-19,2025-11-18,2025-12-09,Resolved,Prime MEP Solutions,0
SNG-00018,HAN-0012,MER-P1-B1-01665,Plumbing,Moderate,2025-10-13,2025-10-27,2025-10-31,Resolved,Modern Facade Systems,0
SNG-00019,HAN-0012,MER-P1-B1-01665,Flooring,Moderate,2025-10-14,2025-10-28,2025-11-04,Resolved,Prime MEP Solutions,0
SNG-00020,HAN-0012,MER-P1-B1-01665,Paint & Finishing,Minor,2025-10-24,2025-10-31,2025-11-01,Resolved,Prime MEP Solutions,0
SNG-00021,HAN-0013,MER-P1-B1-01666,Flooring,Moderate,2025-10-20,2025-11-03,,Open,Modern Facade Systems,0
SNG-00022,HAN-0014,MER-P1-B1-01668,Paint & Finishing,Moderate,2025-11-07,2025-11-21,,Open,Delta Construction Group,0
SNG-00023,HAN-0014,MER-P1-B1-01668,Electrical,Minor,2025-10-29,2025-11-05,2025-11-07,Resolved,Prime MEP Solutions,0
SNG-00024,HAN-0014,MER-P1-B1-01668,Electrical,Moderate,2025-10-31,2025-11-14,,Open,Horizon Build Partners,0
SNG-00025,HAN-0016,MER-P1-B1-01671,Doors & Windows,Moderate,2025-10-24,2025-11-07,2025-11-12,Resolved,Modern Facade Systems,0
SNG-00026,HAN-0016,MER-P1-B1-01671,Structural,Major,2025-10-13,2025-11-12,,Open,Prime MEP Solutions,0
SNG-00027,HAN-0017,MER-P1-B1-01672,Paint & Finishing,Minor,2025-11-04,2025-11-11,,Open,Delta Construction Group,0
SNG-00028,HAN-0017,MER-P1-B1-01672,Electrical,Major,2025-10-31,2025-11-30,,Open,Prime MEP Solutions,0
SNG-00029,HAN-0018,MER-P1-B1-01673,Plumbing,Moderate,2025-10-21,2025-11-04,2025-11-04,Resolved,Modern Facade Systems,0
SNG-00030,HAN-0018,MER-P1-B1-01673,Electrical,Major,2025-10-18,2025-11-17,,Open,Delta Construction Group,0
SNG-00031,HAN-0018,MER-P1-B1-01673,Flooring,Major,2025-10-13,2025-11-12,2025-11-20,Resolved,Delta Construction Group,0
