unit_id,project_id,phase,building,floor,unit_type,bedrooms,built_up_area_sqm,garden_area_sqm,terrace_area_sqm,view_type,list_price,price_per_sqm,release_date,unit_status,reservation_date,contract_date,cancellation_date,buyer_id,broker_id,sales_agent_id,discount_pct,net_contract_value,payment_plan_years,down_payment_pct,expected_handover_date,forecast_handover_date,construction_completion_pct,days_on_market,availability_bucket
AUR-P1-B1-00001,AUR,Phase 1,Building A,13,Apartment,4,207.5,18.0,0.0,Courtyard View,8743427.5,42137.0,2024-05-29,available,,,,,,,,,,,,,54.0,762,365+ days
AUR-P1-B1-00002,AUR,Phase 1,Building A,7,Duplex,3,138.9,15.3,19.1,Courtyard View,7832709.9,56391.0,2024-06-01,available,,,,,,,,,,,,,54.0,759,365+ days
AUR-P1-B1-00003,AUR,Phase 1,Building A,9,Duplex,5,238.4,9.6,0.0,Garden View,10285052.8,43142.0,2024-05-13,contracted,2026-05-07,2026-05-18,,CUS-000234,,AGT-006,5.2,9750230.05,4,18.3,2027-03-31,2027-03-31,54.0,724,365+ days
AUR-P1-B1-00004,AUR,Phase 1,Building A,6,Apartment,4,228.0,0.0,18.9,Garden View,11043180.0,48435.0,2024-10-26,contracted,2025-01-13,2025-01-30,,CUS-000181,,AGT-004,2.7,10745014.14,3,16.3,2027-03-31,2027-03-31,54.0,79,31-90 days
AUR-P1-B1-00005,AUR,Phase 1,Building A,10,Apartment,4,124.1,0.0,26.3,Pool View,5710585.6,46016.0,2024-06-09,available,,,,,,,,,,,,,54.0,751,365+ days
AUR-P1-B1-00006,AUR,Phase 1,Building A,0,Villa,4,483.3,284.7,49.7,Pool View,21448370.7,44379.0,2024-06-01,contracted,2024-12-14,2024-12-31,,CUS-000157,,AGT-006,5.2,20333055.42,5,24.2,2027-03-31,2027-03-31,54.0,196,181-365 days
AUR-P1-B1-00007,AUR,Phase 1,Building A,8,Apartment,3,221.3,0.0,9.3,Pool View,11524861.4,52078.0,2024-04-06,contracted,2025-03-28,2025-04-21,,CUS-000124,BRK-05,AGT-007,3.8,11086916.67,6,22.3,2027-03-31,2027-03-31,54.0,356,181-365 days
AUR-P1-B1-00008,AUR,Phase 1,Building A,8,Duplex,3,150.0,0.0,21.3,Courtyard View,8788200.0,58588.0,2024-07-22,contracted,2025-12-13,2025-12-18,,CUS-000132,BRK-04,AGT-004,5.6,8296060.8,3,17.0,2027-03-31,2027-03-31,54.0,509,365+ days
AUR-P1-B1-00009,AUR,Phase 1,Building A,0,Apartment,2,129.7,0.0,29.3,Garden View,6172423.0,47590.0,2024-07-21,contracted,2024-11-17,2024-12-26,,CUS-000247,,AGT-001,4.6,5888491.54,6,24.0,2027-03-31,2027-03-31,54.0,119,91-180 days
AUR-P1-B1-00010,AUR,Phase 1,Building A,0,Villa,4,438.9,122.1,53.8,Courtyard View,29217134.1,66569.0,2024-07-01,available,,,,,,,,,,,,,54.0,729,365+ days
